Actual_Status,PD,Credit_Score,Optimal_Threshold,Max_Expected_Profit,PSI_Score
1,0.6315706031852831,471,505.55555555555554,41000,0.010090838508007457
0,0.6678614851512649,466,505.55555555555554,41000,0.010090838508007457
0,0.8178957655937203,443,505.55555555555554,41000,0.010090838508007457
0,0.46948336910991106,490,505.55555555555554,41000,0.010090838508007457
0,0.2515877323878843,518,505.55555555555554,41000,0.010090838508007457
0,0.6045638164637708,474,505.55555555555554,41000,0.010090838508007457
0,0.30259557124807335,511,505.55555555555554,41000,0.010090838508007457
0,0.4924418739318172,487,505.55555555555554,41000,0.010090838508007457
0,0.2799446329226957,514,505.55555555555554,41000,0.010090838508007457
0,0.2994503623527051,511,505.55555555555554,41000,0.010090838508007457
0,0.3846930170693538,500,505.55555555555554,41000,0.010090838508007457
1,0.7510241014195375,455,505.55555555555554,41000,0.010090838508007457
0,0.37462673234165966,501,505.55555555555554,41000,0.010090838508007457
1,0.8384029627475528,439,505.55555555555554,41000,0.010090838508007457
1,0.7993204835418259,447,505.55555555555554,41000,0.010090838508007457
1,0.5983235254649883,475,505.55555555555554,41000,0.010090838508007457
0,0.21896639087820519,523,505.55555555555554,41000,0.010090838508007457
0,0.2035779753541495,526,505.55555555555554,41000,0.010090838508007457
1,0.6239485639631982,472,505.55555555555554,41000,0.010090838508007457
0,0.5291870628570485,483,505.55555555555554,41000,0.010090838508007457
0,0.3241034832594607,508,505.55555555555554,41000,0.010090838508007457
1,0.6320532202339948,471,505.55555555555554,41000,0.010090838508007457
0,0.27263917245328384,515,505.55555555555554,41000,0.010090838508007457
0,0.15221434989346513,536,505.55555555555554,41000,0.010090838508007457
0,0.17330104409129946,532,505.55555555555554,41000,0.010090838508007457
1,0.753065626909116,454,505.55555555555554,41000,0.010090838508007457
0,0.7137345062147449,460,505.55555555555554,41000,0.010090838508007457
0,0.7696109191931478,452,505.55555555555554,41000,0.010090838508007457
0,0.28052984222472677,514,505.55555555555554,41000,0.010090838508007457
0,0.4235914096617848,496,505.55555555555554,41000,0.010090838508007457
0,0.3488624600297168,505,505.55555555555554,41000,0.010090838508007457
0,0.4680803030527735,490,505.55555555555554,41000,0.010090838508007457
1,0.4592403078908049,491,505.55555555555554,41000,0.010090838508007457
0,0.3880860091762786,500,505.55555555555554,41000,0.010090838508007457
0,0.4037394267082298,498,505.55555555555554,41000,0.010090838508007457
0,0.4832991805734445,489,505.55555555555554,41000,0.010090838508007457
0,0.6970654622573811,463,505.55555555555554,41000,0.010090838508007457
